pk,jsondata,language_pk,identifier_pk,description,version
893,,355,783,,1
894,,314,453,,1
895,,1368,1678,,1
896,,1523,1678,,1
897,,150,966,,1
898,,1627,1776,,1
899,,177,1177,,1
900,,1628,1856,,1
901,,757,1695,,1
902,,1502,411,,1
903,,2139,1140,,1
904,,1690,475,,1
905,,675,475,,1
906,,1787,42,,1
907,,2186,348,,1
908,,2134,328,,1
909,,1401,870,,1
910,,23,138,,1
911,,2038,270,,1
912,,2451,822,,1
913,,2077,673,,1
914,,1515,1037,,1
915,,557,1075,,1
916,,1430,542,,1
917,,1382,29,,1
918,,705,861,,1
919,,2390,434,,1
920,,941,1134,,1
921,,2140,1470,,1
922,,506,92,,1
923,,1723,780,,1
924,,1054,1772,,1
925,,2318,1923,,1
926,,1090,1331,,1
927,,1526,1502,,1
928,,2133,320,,1
929,,1717,320,,1
930,,299,320,,1
931,,42,320,,1
932,,2502,1060,,1
933,,2340,986,,1
934,,1755,573,,1
935,,669,393,,1
936,,516,234,,1
937,,488,1927,,1
938,,1317,1214,,1
939,,2397,815,,1
940,,1650,960,,1
941,,2537,1389,,1
942,,1516,1090,,1
943,,315,464,,1
944,,828,1167,,1
945,,1551,1777,,1
946,,1174,709,,1
947,,2465,1087,,1
948,,2262,662,,1
949,,2547,1474,,1
950,,965,1878,,1
951,,2521,1618,,1
952,,820,1162,,1
953,,607,1680,,1
954,,2211,1629,,1
955,,2295,1288,,1
956,,806,833,,1
957,,289,227,,1
958,,2523,627,,1
959,,2418,770,,1
960,,1625,1703,,1
961,,233,1724,,1
962,,2209,1529,,1
963,,1020,1542,,1
964,,1194,467,,1
965,,1902,1050,,1
966,,166,1050,,1
967,,1743,1853,,1
968,,1541,383,,1
969,,1383,185,,1
970,,1669,516,,1
971,,1954,516,,1
972,,209,1552,,1
973,,1157,140,,1
974,,125,729,,1
975,,2043,729,,1
976,,2127,1040,,1
977,,657,655,,1
978,,1596,618,,1
979,,951,1575,,1
980,,1125,907,,1
981,,2529,1021,,1
982,,2208,1452,,1
983,,1078,1898,,1
984,,367,911,,1
985,,1252,934,,1
986,,2145,173,,1
987,,830,490,,1
988,,2255,1698,,1
989,,1886,13,,1
990,,1185,307,,1
991,,1778,307,,1
992,,1136,76,,1
993,,857,110,,1
994,,1291,39,,1
995,,2289,837,,1
996,,886,1128,,1
997,,755,1654,,1
998,,766,1868,,1
999,,2096,1608,,1
1000,,1042,1152,,1
1001,,582,1374,,1
1002,,1437,1227,,1
1003,,851,1933,,1
1004,,2039,340,,1
1005,,2414,340,,1
1006,,1890,340,,1
1007,,2073,340,,1
1008,,44,340,,1
1009,,304,340,,1
1010,,303,340,,1
1011,,2047,1241,,1
1012,,1498,272,,1
1013,,2157,1197,,1
1014,,8,1408,,1
1015,,1358,1667,,1
1016,,1038,863,,1
1017,,2474,1843,,1
1018,,1036,1287,,1
1019,,1583,83,,1
1020,,1295,177,,1
1021,,2487,692,,1
1022,,2392,130,,1
1023,,1537,1821,,1
1024,,2217,645,,1
1025,,239,1785,,1
1026,,2307,1842,,1
1027,,1426,1507,,1
1028,,1944,1565,,1
1029,,1522,1330,,1
1030,,2041,585,,1
1031,,2229,1220,,1
1032,,316,480,,1
1033,,1065,333,,1
1034,,805,800,,1
1035,,2278,1139,,1
1036,,111,678,,1
1037,,1610,1080,,1
1038,,2292,1782,,1
1039,,1400,1006,,1
1040,,1095,1708,,1
1041,,1272,1512,,1
1042,,1521,1327,,1
1043,,2173,511,,1
1044,,1489,1726,,1
1045,,1588,273,,1
1046,,2017,169,,1
1047,,2114,1836,,1
1048,,783,205,,1
1049,,1263,1391,,1
1050,,839,1615,,1
1051,,427,1343,,1
1052,,1396,600,,1
1053,,1327,1459,,1
1054,,589,1459,,1
1055,,1269,1459,,1
1056,,588,1459,,1
1057,,2450,1435,,1
1058,,620,1435,,1
1059,,1811,1250,,1
1060,,460,1657,,1
1061,,450,1585,,1
1062,,1250,917,,1
1063,,811,1349,,1
1064,,1929,493,,1
1065,,866,239,,1
1066,,1751,1062,,1
1067,,2004,93,,1
1068,,186,93,,1
1069,,1318,93,,1
1070,,1581,59,,1
1071,,980,452,,1
1072,,713,1045,,1
1073,,1158,150,,1
1074,,2496,267,,1
1075,,230,1677,,1
1076,,1465,961,,1
1077,,863,1641,,1
1078,,2473,1641,,1
1079,,1744,1951,,1
1080,,405,1172,,1
1081,,1164,368,,1
1082,,1849,1690,,1
1083,,1870,761,,1
1084,,2424,406,,1
1085,,323,575,,1
1086,,2192,1346,,1
1087,,513,197,,1
1088,,1103,223,,1
1089,,1985,1686,,1
1090,,924,790,,1
1091,,987,790,,1
1092,,1177,301,,1
1093,,358,817,,1
1094,,754,1623,,1
1095,,2201,1734,,1
1096,,1039,996,,1
1097,,902,1649,,1
1098,,1244,777,,1
1099,,1378,1930,,1
1100,,528,503,,1
1101,,62,503,,1
1102,,61,503,,1
1103,,1680,503,,1
1104,,662,269,,1
1105,,1299,290,,1
1106,,2470,1905,,1
1107,,606,1029,,1
1108,,2552,1981,,1
1109,,2422,1596,,1
1110,,1802,274,,1
1111,,2501,534,,1
1112,,1950,1302,,1
1113,,1972,1876,,1
1114,,1984,1632,,1
1115,,699,772,,1
1116,,2033,1209,,1
1117,,799,623,,1
1118,,1190,1107,,1
1119,,603,1605,,1
1120,,1435,1421,,1
1121,,622,1941,,1
1122,,2509,358,,1
1123,,60,495,,1
1124,,2510,495,,1
1125,,2349,463,,1
1126,,1749,224,,1
1127,,1064,312,,1
1128,,1241,704,,1
1129,,1294,153,,1
1130,,2220,742,,1
1131,,2375,155,,1
1132,,1466,1023,,1
1133,,134,1023,,1
1134,,160,1023,,1
1135,,144,1023,,1
1136,,711,1023,,1
1137,,192,1295,,1
1138,,1276,1581,,1
1139,,1173,689,,1
1140,,156,992,,1
1141,,100,615,,1
1142,,1332,1719,,1
1143,,2233,1610,,1
1144,,1513,944,,1
1145,,2198,1935,,1
1146,,1724,903,,1
1147,,188,1189,,1
1148,,163,1039,,1
1149,,232,1705,,1
1150,,813,902,,1
1151,,949,1447,,1
1152,,1134,1164,,1
1153,,782,459,,1
1154,,2366,289,,1
1155,,270,34,,1
1156,,581,1356,,1
1157,,1178,816,,1
1158,,991,1112,,1
1159,,944,1222,,1
1160,,2066,335,,1
1161,,1958,877,,1
1162,,577,1337,,1
1163,,1238,680,,1
1164,,180,1193,,1
1165,,1943,1510,,1
1166,,2678,441,,1
1167,,1037,787,,1
1169,,1429,1779,,1
1170,,2022,1816,,1
1171,,1328,1461,,1
1172,,742,1472,,1
1173,,2138,1030,,1
1174,,1451,449,,1
1175,,1221,279,,1
1176,,1336,1893,,1
1177,,1833,691,,1
1178,,1483,1555,,1
1179,,2119,1284,,1
1180,,1747,276,,1
1181,,861,164,,1
1182,,1666,1831,,1
1183,,286,200,,1
1184,,1831,595,,1
1185,,1061,51,,1
1186,,259,1961,,1
1187,,1045,1216,,1
1188,,1565,1345,,1
1189,,2199,91,,1
1190,,911,91,,1
1191,,634,91,,1
1192,,275,91,,1
1193,,13,91,,1
1194,,198,1362,,1
1195,,1271,1483,,1
1196,,85,544,,1
1197,,2344,363,,1
1198,,2156,1095,,1
1199,,1547,536,,1
1200,,2276,536,,1
1201,,1364,536,,1
1202,,417,1242,,1
1203,,1794,451,,1
1204,,756,1659,,1
1205,,2131,192,,1
1206,,28,158,,1
1207,,1441,147,,1
1208,,1825,147,,1
1209,,601,1582,,1
1210,,473,1761,,1
1211,,1249,840,,1
1212,,1356,792,,1
1213,,263,1975,,1
1214,,1624,1644,,1
1215,,2408,398,,1
1216,,1821,19,,1
1217,,1305,498,,1
1218,,1923,264,,1
1219,,19,117,,1
1220,,2084,1468,,1
1221,,462,1669,,1
1222,,1019,178,,1
1223,,396,1135,,1
1224,,957,1762,,1
1225,,252,1913,,1
1226,,1696,1159,,1
1227,,1767,1159,,1
1228,,1941,1381,,1
1229,,744,1492,,1
1230,,2434,1940,,1
1231,,550,862,,1
