pk,jsondata,id,name,description,markup_description,family_pk,subfamily,icon
364,,tsamosan,Tsamosan,,,141,,d99ffff
365,,senagi,Senagi,,,142,,daa0000
366,,sentani,Sentani,,,143,,dcccccc
367,,uppersepik,Upper Sepik,,,144,,ddd0000
369,,ram,Ram,,,144,,dff6600
370,,sepikhill,Sepik Hill,,,144,,dff66ff
371,,tamasepik,Tama Sepik,,,144,,dffcc00
372,,yellowriver,Yellow River,,,144,,dffff00
373,,shompen,Shompen,,,208,,dffffcc
374,,westernarunachal,Western Arunachal,,,145,Tibeto-Burman,dffffff
375,,chinese,Chinese,,,145,,f000000
376,,digaroan,Digaroan,,,145,Tibeto-Burman,f0000dd
378,,karen,Karen,,,145,Tibeto-Burman,f66ff33
379,,lepcha,Lepcha,,,145,Tibeto-Burman,f990099
380,,burmeselolo,Burmese-Lolo,,,145,Tibeto-Burman,f9999ff
381,,bai,Bai,,,145,Tibeto-Burman,f99ffff
382,,tani,Tani,,,145,Tibeto-Burman,faa0000
383,,bodogaro,Bodo-Garo,,,145,Tibeto-Burman,fcccccc
384,,naxi,Naxi,,,145,Tibeto-Burman,fdd0000
385,,nungish,Nungish,,,145,Tibeto-Burman,fff4400
386,,kukichin,Kuki-Chin,,,145,Tibeto-Burman,fff6600
387,,qiangic,Qiangic,,,145,Tibeto-Burman,fff66ff
388,,northernnaga,Northern Naga,,,145,Tibeto-Burman,fffcc00
389,,bodic,Bodic,,,145,Tibeto-Burman,fffff00
390,,rgyalrong,rGyalrong,,,145,Tibeto-Burman,fffffcc
392,,westernskou,Western Skou,,,147,,s000000
393,,serrahills,Serra Hills,,,147,,s0000dd
394,,warapu,Warapu,,,147,,s009900
395,,krisa,Krisa,,,147,,s66ff33
396,,lavukaleve,Lavukaleve,,,203,,s990099
397,,savosavo,Savosavo,,,203,,s9999ff
398,,bilua,Bilua,,,203,,s99ffff
399,,southandamanese,South Andamanese,,,202,,saa0000
400,,sulka,Sulka,,,148,,scccccc
401,,sulung,Sulung,,,204,,sdd0000
402,,tacame,Tacame,,,149,,sff4400
403,,tacanan,Tacanan,,,150,,sff6600
404,,kamtai,Kam-Tai,,,151,,sff66ff
405,,kadai,Kadai,,,151,,sffcc00
406,,hlai,Hlai,,,151,,sffff00
407,,takelma,Takelma,,,152,,sffffcc
408,,tarascan,Tarascan,,,153,,sffffff
409,,tasmanian,Tasmanian,,,154,,t000000
410,,taushiro,Taushiro,,,155,,t0000dd
411,,teberan,Teberan,,,156,,t009900
412,,pawaian,Pawaian,,,156,,t66ff33
413,,tequistlatecan,Tequistlatecan,,,157,,t990099
414,,ticuna,Ticuna,,,158,,t9999ff
415,,kolanatanglapui,Kolana-Tanglapui,,,205,,t99ffff
416,,makasaefatalukuoirata,Makasae-Fataluku-Oirata,,,205,,taa0000
417,,greateralor,Greater Alor,,,205,,tcccccc
418,,timotecuica,Timote-Cuica,,,159,,tdd0000
419,,timucua,Timucua,,,160,,tff4400
420,,tol,Tol,,,161,,tff6600
421,,tonkawa,Tonkawa,,,162,,tff66ff
422,,orya,Orya,,,163,,tffcc00
423,,tor,Tor,,,163,,tffff00
424,,urim,Urim,,,164,,tffffcc
425,,marienberg,Marienberg,,,164,,tffffff
426,,westwapei,West Wapei,,,164,,c000000
427,,kombioarapesh,Kombio-Arapesh,,,164,,c0000dd
428,,wapeipalei,Wapei-Palei,,,164,,c009900
429,,totonacan,Totonacan,,,165,,c66ff33
430,,easternhighlands,Eastern Highlands,,,166,,c990099
431,,duna,Duna,,,166,,c9999ff
432,,dani,Dani,,,166,,c99ffff
433,,engan,Engan,,,166,,caa0000
434,,finisterrehuon,Finisterre-Huon,,,166,,ccccccc
435,,goilalan,Goilalan,,,166,,cdd0000
436,,wissellakeskemandoga,Wissel Lakes-Kemandoga,,,166,,cff4400
437,,madang,Madang,,,166,,cff6600
438,,chimbu,Chimbu,,,166,,cff66ff
439,,koiarian,Koiarian,,,166,,cffcc00
440,,fasu,Fasu,,,166,,cffff00
441,,ok,Ok,,,166,,cffffcc
442,,binanderean,Binanderean,,,166,,cffffff
443,,momuna,Momuna,,,166,,d000000
444,,kutubuan,Kutubuan,,,166,,d0000dd
445,,awjudumut,Awju-Dumut,,,166,,d009900
446,,mek,Mek,,,166,,d66ff33
447,,asmatkamoro,Asmat-Kamoro,,,166,,d990099
448,,mairasitanahmerah,Mairasi-Tanahmerah,,,166,,d9999ff
449,,angan,Angan,,,166,,d99ffff
450,,mailuan,Mailuan,,,166,,daa0000
451,,trumai,Trumai,,,167,,dcccccc
452,,tucanoan,Tucanoan,,,168,,ddd0000
453,,tunica,Tunica,,,169,,dff4400
454,,tupari,Tupari,,,170,,dff6600
455,,monde,Monde,,,170,,dff66ff
456,,ramarama,Ramarama,,,170,,dffcc00
457,,tupiguarani,Tupi-Guaraní,,,170,,dffff00
458,,arikem,Arikem,,,170,,dffffcc
459,,munduruku,Munduruku,,,170,,dffffff
460,,turamakikorian,Turama-Kikorian,,,171,,f000000
462,,saami,Saami,,,173,Finno-Ugric,f009900
463,,samoyedic,Samoyedic,,,173,,f66ff33
464,,ugric,Ugric,,,173,Finno-Ugric,f990099
465,,finnic,Finnic,,,173,Finno-Ugric,f9999ff
466,,mari,Mari,,,173,Finno-Ugric,f99ffff
467,,mordvin,Mordvin,,,173,Finno-Ugric,faa0000
468,,permic,Permic,,,173,Finno-Ugric,fcccccc
469,,urarina,Urarina,,,174,,fdd0000
470,,uruchipaya,Uru-Chipaya,,,175,,fff4400
471,,corachol,Corachol,,,176,,fff6600
472,,tubar,Tubar,,,176,,fff66ff
473,,hopi,Hopi,,,176,,fffcc00
475,,cahita,Cahita,,,176,,fffffcc
476,,aztecan,Aztecan,,,176,,fffffff
477,,numic,Numic,,,176,,s000000
478,,tepiman,Tepiman,,,176,,s0000dd
479,,tarahumaran,Tarahumaran,,,176,,s009900
481,,southernwakashan,Southern Wakashan,,,178,,s990099
482,,northernwakashan,Northern Wakashan,,,178,,s9999ff
483,,waorani,Waorani,,,179,,s99ffff
484,,yukian,Yukian,,,180,,saa0000
485,,wappo,Wappo,,,180,,scccccc
486,,warao,Warao,,,181,,sdd0000
487,,washo,Washo,,,182,,sff4400
488,,westbomberai,West Bomberai,,,183,,sff6600
489,,westbougainville,West Bougainville,,,184,,sff66ff
490,,westernfly,Western Fly,,,186,,sffcc00
491,,westbirdshead,West Bird's Head,,,185,,sffff00
492,,kebar,Kebar,,,185,,sffffcc
493,,northcentralbirdshead,North-Central Bird's Head,,,185,,sffffff
494,,northhalmaheran,North Halmaheran,,,185,,t000000
495,,hatam,Hatam,,,185,,t0000dd
496,,yale,Yale,,,187,,t009900
497,,yamana,Yámana,,,188,,t66ff33
498,,yanomam,Yanomam,,,189,,t990099
499,,yareban,Yareban,,,190,,t9999ff
500,,yaruro,Yaruro,,,191,,t99ffff
501,,yawa,Yawa,,,192,,taa0000
502,,yele,Yele,,,193,,tcccccc
503,,yeniseian,Yeniseian,,,194,,tdd0000
504,,yuchi,Yuchi,,,195,,tff4400
505,,yukaghir,Yukaghir,,,196,,tff6600
506,,yuracare,Yuracare,,,197,,tff66ff
507,,yurimangi,Yurimangí,,,198,,tffcc00
508,,zamucoan,Zamucoan,,,199,,tffff00
509,,zaparoan,Zaparoan,,,200,,tffffcc
510,,zuni,Zuni,,,201,,tffffff
377,,jinghpo,Jingpho,,,145,Tibeto-Burman,f009900
461,,upperyuat,Piawi,,,172,,f0000dd
511,,dhimalic,Dhimalic,,,145,Tibeto-Burman,c000000
