ID,NameOLD,NameNEW,MacroareaOLD,MacroareaNEW,LatitudeOLD,LatitudeNEW,LongitudeOLD,LongitudeNEW,GlottocodeOLD,GlottocodeNEW,ISO639P3code,FamilyOLD,FamilyNEW,SubfamilyOLD,SubfamilyNEW,GenusOLD,GenusNEW,GenusIcon,ISO_codesOLD,ISO_codesNEW,Samples_100,Samples_200,Country_IDOLD,Country_IDNEW,Source
rpa,Rang Pas,Rang Pas,Eurasia,Eurasia,30.33333333,30.33333333,79.33333333,79.33333333,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,NP,NP,Zoller-1983
tdi,Tibetan (Dingri),Tibetan (Dingri),Eurasia,Eurasia,28.5,28.5,86.5,86.5,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,CN,CN,Herrmann-1989
tdr,Tibetan (Drokpa),Tibetan (Drokpa),Eurasia,Eurasia,32.25,32.25,81.25,81.25,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,CN,CN,Kretschmar-1986
tib,Tibetan (Standard Spoken),Tibetan (Standard Spoken),Eurasia,Eurasia,30,30,91,91,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,CN,CN,Bell-1939 Bell-1965 De-Lancey-2003 Denwood-1999 Goldstein-and-Nornang-1970 Goldstein-and-Nornang-1978 Hannah-1912 Malherbe-and-Rosenberg-1996 Rerix-1961
tis,Tibetan (Shigatse),Tibetan (Shigatse),Eurasia,Eurasia,29,29,89,89,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,CN,CN,Haller-2000
tmo,Tibetan (Modern Literary),Tibetan (Modern Literary),Eurasia,Eurasia,29.83333333,29.83333333,91.5,91.5,tibe1272,tibe1272,bod,Sino-Tibetan,Sino-Tibetan,Tibeto-Burman,Tibeto-Burman,Bodic,Bodic,fffff00,bod,bod,0,0,CN,CN,Goldstein-1991
cba,Chumash (Barbareño),Chumash (Barbareño),North America,North America,34.5,34.5,-120.25,-120.25,barb1263,barb1263,boi,Chumash,Chumash,,,Chumash,Chumash,s990099,boi,boi,0,0,US,US,Beeler-1976 Beeler-nd Kroeber-1904 Wash-2001
blq,Bole,Bole,Africa,Africa,11.33333333,11.33333333,11.25,11.25,nucl1695,nucl1695,bol,Afro-Asiatic,Afro-Asiatic,Chadic,Chadic,West Chadic,West Chadic,c9999ff,bol,bol,0,0,NG,NG,Frajzyngier-1987 Gimba-2000
bir,Birom,Birom,Africa,Africa,9.666666667,9.666666667,8.833333333,8.833333333,bero1242,bero1242,bom,Niger-Congo,Niger-Congo,Benue-Congo,Benue-Congo,Platoid,Benue-Congo Plateau,dff4400,bom,bom,0,0,NG,NG,Bouquiaux-1970 Wolff-1959
brr,Bororo,Bororo,South America,South America,-16,-16,-57,-57,boro1282,boro1282,bor,Bororoan,Bororoan,,,Bororoan,Bororoan,t66ff33,bor,bor,0,0,BR,BR,Crowell-1979 Huestis-1963 Rodrigues-1999b
bos,Bosnian,Bosnian,Eurasia,Eurasia,43,43,18,18,bosn1245,bosn1245,bos,Indo-European,Indo-European,,,Slavic,Slavic,cffff00,bos,bos,0,0,BA,BA,
bgo,Bongo,Bongo,Africa,Africa,7.5,7.5,28.5,28.5,bong1285,bong1285,bot,Central Sudanic,Central Sudanic,,,Bongo-Bagirmi,Bongo-Bagirmi,fffffcc,bot,bot,0,0,SS,SS,Santandrea-1963
boz,Bozo (Tigemaxo),Bozo (Tigemaxo),Africa,Africa,15,15,-4,-4,tiey1235,tiey1235,boz,Mande,Mande,,,Western Mande,Western Mande,f009900,boz,boz,0,0,ML,ML,Blecke-1996
kaj,Kaure,Kaure,Papunesia,Papunesia,-3.416666667,-3.416666667,140.0833333,140.0833333,kaur1271,kaur1271,bpp,,,,,,,f009900,bpp,bpp,0,0,ID,ID,Dommel-and-Dommel-1991
biq,Bilaan (Koronadal),Bilaan (Koronadal),Papunesia,Papunesia,6,6,125.3333333,125.3333333,,koro1310,bpr,Austronesian,Austronesian,,,Bilic,Bilic,d009900,bpr,bpr,0,0,PH,PH,Llamzon-1978
bon,Bongu,Bongu,Papunesia,Papunesia,-5.5,-5.5,145.9166667,145.9166667,bong1291,bong1291,bpu,Trans-New Guinea,Trans-New Guinea,,Madang,Madang,Rai Coast,cff6600,bpu,bpu,0,0,PG,PG,Bybee-et-al-1994 Hanke-1909
bok,Boko,Boko,Africa,Africa,10.5,10.5,3.5,3.5,boko1266,boko1266,bqc,Mande,Mande,,,Eastern Mande,Eastern Mande,d000000,bqc,bqc,0,0,NG BJ,NG BJ,Jones-1998b
bus,Busa,Busa,Africa,Africa,9.666666667,9.666666667,4,4,busa1253,busa1253,bqp,Mande,Mande,,,Eastern Mande,Eastern Mande,d000000,bqp,bqp,0,0,NG,NG,Jones-1998b Wedekind-1972
kkl,Kata Kolok,Kata Kolok,Papunesia,Papunesia,-8.25,-8.25,115.1666667,115.1666667,beng1239,beng1239,bqy,other,other,,,Sign Languages,Sign Languages,t99ffff,bqy,bqy,0,0,ID,ID,Branson-et-al-1996
bra,Brao,Brao,Eurasia,Eurasia,14.16666667,14.16666667,107.5,107.5,lave1249,lave1249,brb,Austro-Asiatic,Austro-Asiatic,Mon-Khmer,Mon-Khmer,Bahnaric,Bahnaric,sff6600,brb,brb,0,0,VN,VN,Keller-1976
bdc,Berbice Dutch Creole,Berbice Dutch Creole,South America,South America,5.333333333,5.333333333,-58,-58,berb1259,berb1259,brc,other,other,,,Creoles and Pidgins,Creoles and Pidgins,taa0000,brc,brc,0,0,GY,GY,Kouwenberg-1994
