id,name,dbpedia_url
mra,Mlabri,http://dbpedia.org/resource/Mlabri_language
mrc,Maricopa,http://dbpedia.org/resource/Maricopa_language
mrd,"Magar, Western",
mrf,Elseng,http://dbpedia.org/resource/Elseng_language
mrg,Miri,
mrh,"Chin, Mara",http://dbpedia.org/resource/Mara_language
mrj,"Mari, Hill",
mrn,Cheke Holo,
mrq,"Marquesan, North",
mar,Marathi,http://dbpedia.org/resource/Marathi_language
mrw,Maranao,http://dbpedia.org/resource/Maranao_language
mrz,Marind,
mls,Masalit,http://dbpedia.org/resource/Masalit_language
msj,Ma,
mso,Mombum,
mak,Makasar,http://dbpedia.org/resource/Makassarese_language
msu,Musom,
msy,Aruamu,
mte,Mono,
mtf,Murik,
mtg,Una,
mtk,Mbo’,
mto,"Mixe, Totontepec",http://dbpedia.org/resource/Totontepec_Mixe
mtq,Muong,
mua,Mundang,
mug,Musgu,
muh,Mündü,
mzm,Mumuye,
mnf,Mundani,
mur,Murle,
unr,Mundari,http://dbpedia.org/resource/Mandari_language
muz,Mursi,
mva,Manam,http://dbpedia.org/resource/Manam_language
mvb,Mattole,http://dbpedia.org/resource/Mattole_language
mvc,"Mam, Central",
mvf,"Mongolian, Peripheral",
mvn,Minaveha,
mwd,Mudbura,
mwe,Mwera,
mwf,Murrinh-Patha,http://dbpedia.org/resource/Murrinh-patha_language
mwp,Kala Lagaw Ya,http://dbpedia.org/resource/Kala_Lagaw_Ya
mwv,Mentawai,http://dbpedia.org/resource/Mentawai_language
mww,"Miao, White",
mxj,Miju-Mishmi,
mxk,Monumbo,
mxp,"Mixe, Tlahuitoltepec",http://dbpedia.org/resource/Tlahuitoltepec_Mixe
mxt,"Mixtec, Jamiltepec",
mxu,Mada,http://dbpedia.org/resource/Mada_language_%28Cameroon%29
mxx,Mahou,
mcu,"Mambila, Cameroon",
myb,Mbay,
mye,Myene,http://dbpedia.org/resource/Myene_language
myh,Makah,http://dbpedia.org/resource/Makah_language
mym,Me'en,http://dbpedia.org/resource/Me%27en_language
mnb,Muna,
myp,Pirahã,http://dbpedia.org/resource/Pirah%C3%A3_language
myu,Mundurukú,
myv,Erzya,http://dbpedia.org/resource/Erzya_language
myw,Muyuw,
myy,Macuna,
mzb,Tumzabt,http://dbpedia.org/resource/Mozabite_language
mzh,Wichí Lhamtés Güisnay,http://dbpedia.org/resource/Wich%C3%AD_Lhamt%C3%A9s_G%C3%BCisnay
mzk,"Mambila, Nigeria",
mah,Marshallese,http://dbpedia.org/resource/Marshallese_language
mzn,Mazanderani,http://dbpedia.org/resource/Gorgani_dialect
mzp,Movima,http://dbpedia.org/resource/Movima_language
nab,"Nambikuára, Southern",http://dbpedia.org/resource/Nambikwara_language
naf,Nabak,
nag,Naga Pidgin,http://dbpedia.org/resource/Nagamese
ngu,"Nahuatl, Guerrero",
nhe,"Nahuatl, Eastern Huasteca",http://dbpedia.org/resource/Eastern_Huasteca_Nahuatl
nak,Nakanai,http://dbpedia.org/resource/Nakanai_language
nal,Nalik,http://dbpedia.org/resource/Nalik_language
nam,Nangikurrunggurr,http://dbpedia.org/resource/Ngan%27gityemerri_language
npy,Napu,
naq,Nama,
nas,Naasioi,http://dbpedia.org/resource/Naasioi_language
nhx,"Nahuatl, Isthmus-Mecayapan",http://dbpedia.org/resource/Isthmus-Mecayapan_Nahuatl
nav,Navajo,http://dbpedia.org/resource/Navajo_language
nay,Narrinyeri,http://dbpedia.org/resource/Yaralde_language
nbc,"Naga, Chang",
