pk,jsondata,id,name,description,markup_description,latitude,longitude,version
168,,mqc,Martinique Creole,,,14.6666666667,-61,1
169,,mtk,Matukar,,,-4.91666666667,145.75,1
170,,mbz,Mbe',,,6.28333333333,11.0833333333,1
172,,mcf,Michif,,,52,-100.166666667,1
173,,mce,Mískito Coast English Creole,,,16.25,-88.8333333333,1
174,,mxl,Mixtec (Alacatlatzala),,,17.25,-98.5833333333,1
175,,mll,Molala,,,44.5,-122.5,1
176,,mol,Moldavian,,,47,29,1
177,,mdb,Mudburra,,,-17.3333333333,132.083333333,1
178,,muh,Muher,,,8.16666666667,38.1666666667,1
179,,mnu,Mun,,,19,110,1
180,,muo,Muong,,,20.5,105.083333333,1
181,,nhc,Nahuatl (Central),,,19,-98.25,1
182,,nhp,Nahuatl (Pochutla),,,15.75,-96.5,1
183,,nnt,Nanticoke,,,38,-76.25,1
185,,ntu,Nenets,,,70,76,1
186,,naa,Neo-Aramaic (Amadiya),,,37,43,1
187,,ngy,Ngarinyman,,,-16.5,130.5,1
188,,nge,Ngemba,,,6.2,10,1
189,,nic,Nicobarese,,,7,93.8333333333,1
131,,keo,Keo,,,-8.83333333333,121.25,1
190,,nok,Noghay (Karagash),,,47.5,47.25,1
191,,nte,Norsk Tegnspråk,,,61,9,1
192,,nnn,Nuni (Northern),,,12.1666666667,-3,1
193,,oi,Oi,,,14.8333333333,107.166666667,1
194,,oku,Oku,,,6.25,10.5,1
195,,oma,Omagua,,,-4,-73.5,1
196,,ora,Emai,,,7.08333333333,5.91666666667,1
197,,pte,Paite,,,24,93.1666666667,1
198,,pak,Pakanha,,,-14.5,142.416666667,1
199,,pgl,Pingilapese,,,6.21666666667,160.7,1
200,,psl,Plains-Indians Sign Language,,,40,-100,1
202,,pri,Príncipense,,,1.61666666667,7.36666666667,1
203,,pro,Provençal,,,44,6,1
204,,qbo,Quechua (Bolivian),,,-20,-66,1
205,,rag,Raga,,,-15.5,168.166666667,1
206,,rbu,Romani (Bugurdzi),,,42.6666666667,21.1666666667,1
207,,rbg,Romani (Burgenland),,,47.5,16.5,1
208,,rlo,Romani (Lovari),,,47,21.5,1
210,,sch,Saanich,,,48.5833333333,-123.416666667,1
211,,sae,Saek,,,17.4166666667,104.75,1
212,,sst,Salish (Straits),,,48.75,-123.25,1
213,,syg,Saryg Yughur,,,38.75,99.75,1
214,,smd,Semandang,,,-0.75,110.5,1
215,,swr,Shoshone (Wind River),,,43.4166666667,-108.833333333,1
216,,sik,Sika,,,-8.7,122.25,1
218,,sgs,Songish,,,48.45,-123.333333333,1
