name,type
Khumi,ruhlen
Khyang,ruhlen
Ki,ruhlen
Kikuyu,ruhlen
Kilba,ruhlen
Kilivila,ruhlen
Kiliwa,ruhlen
Kim,ruhlen
Kimaghana,ruhlen
Kinga,ruhlen
Kiowa,ruhlen
Kiranti,ruhlen
Kirghiz,ruhlen
Kiriri,ruhlen
Kirma,ruhlen
Kirmanji,ruhlen
Kisar,ruhlen
Kisi,ruhlen
Kitja,ruhlen
Kitsai,ruhlen
Klamath,ruhlen
Klau,ruhlen
Ko,ruhlen
Koaia,ruhlen
Koasati,ruhlen
Kobon,ruhlen
Kodagu,ruhlen
Kohumono,ruhlen
Koiari,ruhlen
Koiari (Mountain),ruhlen
Koita,ruhlen
Kokota,ruhlen
Kola,ruhlen
Kolakngat,ruhlen
Kolami,ruhlen
Kolana,ruhlen
Kolokuma,ruhlen
Kom,ruhlen
Koma,ruhlen
Komi,ruhlen
Komo,ruhlen
Konda,ruhlen
Kongo,ruhlen
Konkani,ruhlen
Konkomba,ruhlen
Konua,ruhlen
Konyagi,ruhlen
Korafe,ruhlen
Korean,ruhlen
Korku,ruhlen
Koryak,ruhlen
Kosarek,ruhlen
Kosraean,ruhlen
Kota,ruhlen
Kotoko,ruhlen
Kove,ruhlen
Koya,ruhlen
Koyra,ruhlen
Koyukon,ruhlen
Kpan,ruhlen
Kpelle,ruhlen
Kposo,ruhlen
Kresh,ruhlen
Krisa,ruhlen
Krongo,ruhlen
Kryts,ruhlen
Kui,ruhlen
Kukuya,ruhlen
Kulaal,ruhlen
Kulung (Tibeto-Burman),ruhlen
Kumak,ruhlen
Kumyk,ruhlen
Kunama,ruhlen
!Kung,ruhlen
Kunimaipa,ruhlen
Kunza,ruhlen
Kurumfe,ruhlen
Kurux,ruhlen
Kusunda,ruhlen
Kutchin,ruhlen
Kutenai,ruhlen
Kuurn Kopan Noot,ruhlen
Kuvi,ruhlen
Kwaio,ruhlen
Kwakwala,ruhlen
Kwamera,ruhlen
Kwangali,ruhlen
Kwasengen,ruhlen
Kwegu,ruhlen
Kweni,ruhlen
Kwerba,ruhlen
Kwiri,ruhlen
Kwoma,ruhlen
Lacandon,ruhlen
Ladin,ruhlen
Lae,ruhlen
Lagawa,ruhlen
Laha,ruhlen
Lahu,ruhlen
Lak,ruhlen
Lakkia,ruhlen
Lama-Lama,ruhlen
Lamaholot,ruhlen
Lamang,ruhlen
Lamba,ruhlen
Lamnso,ruhlen
Lampung,ruhlen
Langi,ruhlen
Lango,ruhlen
Lao,ruhlen
Laragiya,ruhlen
Lardil,ruhlen
Lati,ruhlen
Latvian,ruhlen
Lau,ruhlen
Lavongai,ruhlen
Lavukaleve,ruhlen
Laz,ruhlen
Lega,ruhlen
Lele,ruhlen
Lenakel,ruhlen
Lepcha,ruhlen
Letri Lgona,ruhlen
Lewo,ruhlen
Lezgi,ruhlen
Lillooet,ruhlen
Limbu,ruhlen
Limilngan,ruhlen
Linda,ruhlen
Lisu,ruhlen
Lithuanian,ruhlen
Livonian,ruhlen
Lobi,ruhlen
Logbara,ruhlen
Logo,ruhlen
Logone,ruhlen
Loko,ruhlen
Loma,ruhlen
Longa,ruhlen
Longgu,ruhlen
Loniu,ruhlen
Lonwolwol,ruhlen
Losengo,ruhlen
Lotha,ruhlen
Lou,ruhlen
Loven,ruhlen
Lower Mundani,ruhlen
Lozi,ruhlen
Lü,ruhlen
Luangiua,ruhlen
Luba-Kasai,ruhlen
Luba-Shaba,ruhlen
Luchazi,ruhlen
Lue,ruhlen
Luganda,ruhlen
Luiseño,ruhlen
Lukep,ruhlen
Lule,ruhlen
Lundayeh,ruhlen
Lundu,ruhlen
Luo,ruhlen
Luri,ruhlen
Lushootseed,ruhlen
Luxembourgeois,ruhlen
Luyia,ruhlen
Lwena,ruhlen
Lyele,ruhlen
Ma'anyan,ruhlen
Maasai,ruhlen
Mabang,ruhlen
Maca,ruhlen
Macaguan,ruhlen
Macedonian,ruhlen
Machiguenga,ruhlen
Macuna,ruhlen
Mada,ruhlen
Mada (Chadic),ruhlen
Madi,ruhlen
Madngele,ruhlen
Madurese,ruhlen
Mae,ruhlen
Magahi,ruhlen
Magar,ruhlen
Magi,ruhlen
Magindanao,ruhlen
Mah Meri,ruhlen
Mahas,ruhlen
Mahican,ruhlen
Maidu (Mountain),ruhlen
Maidu (Northwest),ruhlen
Maidu (Southern),ruhlen
Maipure,ruhlen
Maisin,ruhlen
Maithili,ruhlen
Majang,ruhlen
Makaa,ruhlen
Makah,ruhlen
Makassarese,ruhlen
Makian (East),ruhlen
Maklew,ruhlen
Makonde,ruhlen
Makua,ruhlen
Makushi,ruhlen
Malacca Creole,ruhlen
Malagassy,ruhlen
Malakmalak,ruhlen
Malay,ruhlen
Malayalam,ruhlen
Malayo,ruhlen
Maldivian,ruhlen
Male (Omotic),ruhlen
Maleu,ruhlen
Malo,ruhlen
Maltese,ruhlen
Malto,ruhlen
Mam,ruhlen
Mamanwa,ruhlen
Mambila,ruhlen
Mambwe,ruhlen
Mampelle,ruhlen
Mamvu,ruhlen
Manam,ruhlen
Manambu,ruhlen
Manchu,ruhlen
Mandan,ruhlen
Mandar,ruhlen
Mandarin,ruhlen
Mandinka,ruhlen
Manem,ruhlen
Mangap,ruhlen
Mangarayi,ruhlen
Mangbetu,ruhlen
Manggarai,ruhlen
Maninka,ruhlen
Manjaku,ruhlen
Mankan,ruhlen
Mano,ruhlen
Mansi,ruhlen
Mantion,ruhlen
Manx,ruhlen
Mao,ruhlen
Maori,ruhlen
Mapoyo,ruhlen
Mapudungu,ruhlen
Mara,ruhlen
Maram,ruhlen
Maranao,ruhlen
Maranungku,ruhlen
Marathi,ruhlen
Margany,ruhlen
Margi,ruhlen
Mari,ruhlen
Maricopa,ruhlen
Marind,ruhlen
Maring,ruhlen
Maring (Trans New Guinea),ruhlen
Maringarr,ruhlen
Marithiyel,ruhlen
Marquesan,ruhlen
Marshallese,ruhlen
Martuyhunira,ruhlen
Maru,ruhlen
Marwari,ruhlen
Masa,ruhlen
Mashakali,ruhlen
Massachusett,ruhlen
Matses,ruhlen
Mattole,ruhlen
Matukar,ruhlen
Matumbi,ruhlen
Maung,ruhlen
Maya (South Halmahera),ruhlen
Mayo,ruhlen
Mazahua,ruhlen
Mazanderani,ruhlen
Mazatec,ruhlen
Mba,ruhlen
Mbabaram,ruhlen
Mbai,ruhlen
Mbaloh,ruhlen
Mbe,ruhlen
Mbede,ruhlen
Mbole,ruhlen
Mbugu,ruhlen
Mbum,ruhlen
Me'en,ruhlen
Meax,ruhlen
Mehek,ruhlen
Meidob,ruhlen
Meithei,ruhlen
Mekeo,ruhlen
Melanau,ruhlen
Mende,ruhlen
Meneca,ruhlen
Menominee,ruhlen
Mentawai,ruhlen
Menya,ruhlen
Meriam,ruhlen
Mesalit,ruhlen
Miao,ruhlen
Micmac,ruhlen
Midu,ruhlen
Mien,ruhlen
Migama,ruhlen
Mikarew,ruhlen
Mikasuki,ruhlen
Mikeyir,ruhlen
Mikir,ruhlen
Min (Southern),ruhlen
Minangkabau,ruhlen
Mingrelian,ruhlen
Miriwung,ruhlen
Miskito,ruhlen
Mituku,ruhlen
Miwok (Central Sierra),ruhlen
Miwok (Coast),ruhlen
Miwok (Lake),ruhlen
Miwok (Northern Sierra),ruhlen
Miwok (Plains),ruhlen
Miwok (Southern Sierra),ruhlen
Mixe,ruhlen
Mixtec,ruhlen
Miya,ruhlen
Mizo,ruhlen
Mnong (Eastern),ruhlen
Moba,ruhlen
Mocha,ruhlen
Mocovi,ruhlen
Mofu,ruhlen
Moghol,ruhlen
Mohave,ruhlen
Mohawk,ruhlen
Mokilese,ruhlen
Mokulu,ruhlen
Molale,ruhlen
Mombum,ruhlen
Mon,ruhlen
Mondunga,ruhlen
Mongo,ruhlen
Mongodow,ruhlen
Monguor,ruhlen
Moni,ruhlen
Mono,ruhlen
Monpa,ruhlen
Monumbo,ruhlen
Mopan,ruhlen
Mor,ruhlen
Moraori,ruhlen
Mordvin,ruhlen
More,ruhlen
Mori,ruhlen
Moro,ruhlen
Morokodo,ruhlen
Moru,ruhlen
Morwap,ruhlen
Motilon,ruhlen
Motlav,ruhlen
Motu,ruhlen
Movima,ruhlen
Mrabri,ruhlen
Mudburra,ruhlen
Mugil,ruhlen
Muher,ruhlen
Muinane,ruhlen
Mulao,ruhlen
Mumeng,ruhlen
Mumuye,ruhlen
Muna,ruhlen
Mundang,ruhlen
Mundari,ruhlen
Mundu,ruhlen
Mundu (South),ruhlen
Mundum,ruhlen
Munduruku,ruhlen
Mungaka,ruhlen
Munsee,ruhlen
Muòng,ruhlen
Mura,ruhlen
Murik,ruhlen
Murle,ruhlen
Murrinh-Patha,ruhlen
Murui,ruhlen
Muruwari,ruhlen
Musgu,ruhlen
Muskogee,ruhlen
Musom,ruhlen
Mussau,ruhlen
Mutsun,ruhlen
Muyuw,ruhlen
Mwera,ruhlen
Myene,ruhlen
Mzab,ruhlen
N/amani,ruhlen
Nabak,ruhlen
Nadëb,ruhlen
Nafana,ruhlen
Nagatman,ruhlen
Nahali,ruhlen
