pk,jsondata,value_pk,sentence_pk,description,version
600,,25164,559,,1
601,,5814,560,,1
602,,12809,561,,1
603,,12809,562,,1
604,,12809,563,,1
605,,12809,564,,1
606,,12809,565,,1
607,,12809,566,,1
608,,12809,567,,1
609,,12809,568,,1
610,,12809,569,,1
611,,12809,570,,1
612,,12809,571,,1
613,,12809,572,,1
614,,25060,573,,1
615,,9064,574,,1
616,,9084,575,,1
617,,25076,576,,1
618,,3764,577,,1
619,,9063,578,,1
620,,9063,579,,1
621,,602,580,,1
622,,602,581,,1
623,,2594,582,,1
624,,3583,583,,1
625,,25127,584,,1
626,,3089,585,,1
627,,7996,586,,1
628,,12330,587,,1
629,,24959,588,,1
630,,25106,589,,1
631,,43015,590,,1
632,,3678,591,,1
633,,9222,592,,1
634,,34331,593,,1
635,,7348,594,,1
636,,12817,595,,1
637,,12817,596,,1
638,,12817,597,,1
639,,12817,598,,1
640,,12817,599,,1
641,,12817,600,,1
642,,12817,601,,1
643,,12817,602,,1
644,,12817,603,,1
645,,12817,604,,1
646,,12817,605,,1
647,,12817,606,,1
648,,9237,607,,1
649,,9237,608,,1
650,,2424,609,,1
651,,25019,610,,1
652,,3104,611,,1
653,,2577,612,,1
654,,3309,613,,1
655,,34346,614,,1
656,,3006,615,,1
657,,54164,616,,1
658,,54164,617,,1
659,,54164,618,,1
660,,54164,619,,1
661,,54343,616,,1
662,,54343,617,,1
663,,54343,618,,1
664,,54343,619,,1
665,,2775,620,,1
666,,2518,621,,1
667,,25003,622,,1
668,,6093,623,,1
669,,3759,624,,1
670,,6510,625,,1
671,,6723,625,,1
672,,9124,626,,1
673,,9124,627,,1
674,,9124,628,,1
675,,9124,629,,1
676,,2976,630,,1
677,,25154,631,,1
678,,2917,632,,1
679,,3722,633,,1
680,,2789,634,,1
681,,2882,635,,1
682,,30383,636,,1
683,,2926,637,,1
684,,6546,638,,1
685,,6755,638,,1
686,,54132,639,,1
687,,54132,640,,1
688,,54132,641,,1
689,,54132,642,,1
690,,54313,639,,1
691,,54313,640,,1
692,,54313,641,,1
693,,54313,642,,1
694,,8997,643,,1
695,,12823,644,,1
696,,12823,645,,1
697,,12823,646,,1
698,,12823,647,,1
699,,12823,648,,1
700,,12823,649,,1
701,,12823,650,,1
702,,12823,651,,1
703,,24997,652,,1
704,,25124,653,,1
705,,5929,654,,1
706,,49602,655,,1
707,,6466,656,,1
708,,6685,656,,1
709,,6456,657,,1
710,,6678,657,,1
711,,31053,658,,1
712,,6433,659,,1
713,,6660,659,,1
714,,9190,660,,1
715,,9190,661,,1
716,,4664,662,,1
717,,4664,663,,1
718,,3297,357,,1
719,,8026,667,,1
720,,25148,668,,1
721,,9019,669,,1
722,,9019,670,,1
723,,26127,671,,1
724,,6023,672,,1
725,,3135,673,,1
726,,3831,674,,1
727,,9030,675,,1
728,,9030,676,,1
729,,8738,677,,1
730,,8738,678,,1
731,,3416,679,,1
732,,3526,680,,1
733,,3594,681,,1
734,,54105,682,,1
735,,54105,683,,1
736,,54105,684,,1
737,,54105,685,,1
738,,54288,682,,1
739,,54288,683,,1
740,,54288,684,,1
741,,54288,685,,1
742,,2894,686,,1
743,,8130,687,,1
744,,3087,688,,1
745,,5887,689,,1
746,,5959,690,,1
747,,3853,691,,1
748,,9178,692,,1
749,,9133,693,,1
750,,24898,694,,1
751,,2510,695,,1
752,,25024,696,,1
753,,156,697,,1
754,,27563,698,,1
755,,9235,699,,1
756,,55573,700,,1
757,,5970,701,,1
758,,3261,702,,1
759,,9166,419,,1
760,,3520,703,,1
761,,2880,704,,1
762,,54084,705,,1
763,,54084,706,,1
764,,54084,707,,1
765,,2664,708,,1
766,,2991,709,,1
767,,4824,710,,1
768,,4824,711,,1
769,,53901,712,,1
770,,4600,713,,1
771,,4600,714,,1
772,,4600,715,,1
773,,4618,716,,1
774,,4618,717,,1
775,,4618,718,,1
776,,2561,719,,1
777,,25150,720,,1
778,,25171,721,,1
779,,3468,722,,1
780,,25100,723,,1
781,,12884,724,,1
782,,12884,725,,1
783,,12884,726,,1
784,,12884,727,,1
785,,12884,728,,1
786,,12884,729,,1
787,,24982,730,,1
788,,2840,731,,1
789,,8895,732,,1
790,,7719,733,,1
791,,6054,734,,1
792,,2739,735,,1
793,,37949,736,,1
794,,8148,737,,1
795,,9090,738,,1
796,,12323,739,,1
797,,53920,741,,1
798,,53920,742,,1
799,,54165,743,,1
800,,54165,744,,1
801,,54165,745,,1
802,,54165,746,,1
803,,54344,743,,1
804,,54344,744,,1
805,,54344,745,,1
806,,54344,746,,1
807,,2998,747,,1
808,,3889,748,,1
809,,25090,749,,1
810,,54103,750,,1
811,,54103,751,,1
812,,54103,752,,1
813,,54103,753,,1
814,,54103,754,,1
815,,54287,750,,1
816,,54287,751,,1
817,,54287,752,,1
818,,54287,753,,1
819,,54287,754,,1
820,,2584,755,,1
821,,53892,756,,1
822,,25073,757,,1
823,,26639,758,,1
824,,9007,759,,1
825,,8930,760,,1
826,,13222,761,,1
827,,41443,762,,1
828,,41443,763,,1
829,,27655,764,,1
830,,3021,765,,1
831,,28984,766,,1
832,,3008,767,,1
833,,25043,768,,1
834,,48445,770,,1
835,,25087,771,,1
836,,25029,772,,1
837,,25011,773,,1
838,,6473,774,,1
839,,6692,774,,1
840,,2669,775,,1
841,,54250,776,,1
842,,54250,777,,1
843,,54250,778,,1
844,,54250,779,,1
845,,54421,776,,1
846,,54421,777,,1
847,,54421,778,,1
848,,54421,779,,1
849,,3668,780,,1
850,,47190,781,,1
851,,12905,782,,1
852,,12905,783,,1
853,,12905,784,,1
854,,12905,785,,1
855,,12905,786,,1
856,,24876,787,,1
857,,6593,788,,1
858,,6794,788,,1
859,,24985,789,,1
860,,6378,790,,1
861,,6612,790,,1
862,,25112,791,,1
863,,10905,792,,1
864,,10905,793,,1
865,,3310,794,,1
866,,4653,795,,1
867,,4653,796,,1
868,,4653,797,,1
869,,3326,798,,1
870,,3430,799,,1
871,,29516,800,,1
872,,28831,801,,1
873,,24877,802,,1
874,,6457,803,,1
875,,6679,803,,1
876,,3459,804,,1
877,,10442,805,,1
878,,10442,806,,1
879,,3894,807,,1
880,,14121,664,,1
881,,14121,665,,1
882,,14121,666,,1
883,,25004,808,,1
884,,55214,809,,1
885,,25520,810,,1
886,,3922,811,,1
887,,54091,812,,1
888,,54091,813,,1
889,,54091,814,,1
890,,54091,815,,1
891,,54091,816,,1
892,,54091,817,,1
893,,54275,812,,1
894,,54275,813,,1
895,,54275,814,,1
896,,54275,815,,1
897,,54275,816,,1
898,,54275,817,,1
899,,22700,818,,1
900,,22930,818,,1
901,,24924,819,,1
902,,6371,820,,1
903,,6605,820,,1
904,,2837,821,,1
905,,5289,822,,1
906,,7565,823,,1
907,,25086,824,,1
908,,12262,825,,1
909,,3547,826,,1
910,,3116,827,,1
911,,4908,828,,1
912,,4908,829,,1
913,,7752,830,,1
914,,54184,831,,1
915,,54184,832,,1
916,,54184,833,,1
917,,54184,834,,1
918,,54363,831,,1
919,,54363,832,,1
920,,54363,833,,1
921,,54363,834,,1
922,,3328,835,,1
923,,6065,836,,1
924,,12703,837,,1
925,,12703,838,,1
926,,12703,839,,1
927,,12703,840,,1
928,,12703,841,,1
929,,12703,842,,1
930,,12703,843,,1
931,,12703,844,,1
932,,12703,845,,1
933,,12703,846,,1
934,,12703,847,,1
935,,12703,848,,1
936,,12703,849,,1
937,,12703,850,,1
938,,12703,851,,1
939,,12703,852,,1
940,,12703,853,,1
941,,12703,854,,1
942,,12703,855,,1
943,,12703,856,,1
944,,12703,857,,1
945,,12703,858,,1
946,,12703,859,,1
947,,12703,860,,1
948,,12703,861,,1
949,,12703,862,,1
950,,12703,863,,1
951,,12703,864,,1
952,,12703,865,,1
953,,12703,866,,1
954,,12703,867,,1
955,,12703,868,,1
956,,12703,869,,1
957,,12703,870,,1
958,,12703,871,,1
959,,12703,872,,1
960,,12703,873,,1
961,,12703,874,,1
962,,24948,875,,1
963,,3677,876,,1
964,,3590,877,,1
965,,25141,878,,1
966,,2810,879,,1
967,,53982,880,,1
968,,54181,881,,1
969,,54181,882,,1
970,,54360,881,,1
971,,54360,882,,1
972,,24866,883,,1
973,,2867,886,,1
974,,31304,887,,1
975,,53984,888,,1
976,,6072,889,,1
977,,6052,890,,1
978,,1330,891,,1
979,,1330,892,,1
980,,6009,893,,1
981,,6081,894,,1
982,,9193,895,,1
983,,9193,896,,1
984,,6496,897,,1
985,,6715,897,,1
986,,24957,898,,1
987,,3002,899,,1
988,,12247,900,,1
989,,1754,901,,1
990,,156,902,,1
991,,53891,903,,1
992,,5816,904,,1
993,,5816,905,,1
994,,25035,906,,1
995,,8852,910,,1
996,,53992,911,,1
997,,12186,912,,1
998,,2885,913,,1
999,,7110,914,,1
1000,,2610,915,,1
1001,,3439,916,,1
1002,,24931,917,,1
1003,,55470,918,,1
1004,,55470,919,,1
1005,,54842,920,,1
1006,,8084,921,,1
1007,,2135,922,,1
1008,,12303,923,,1
1009,,3138,924,,1
1010,,3579,925,,1
1011,,27655,926,,1
1012,,27655,927,,1
1013,,3799,928,,1
1014,,3405,929,,1
1015,,51032,930,,1
1016,,51032,931,,1
1017,,41839,932,,1
1018,,24908,933,,1
1019,,2845,934,,1
1020,,2742,935,,1
1021,,3802,936,,1
1022,,25140,937,,1
1023,,6470,940,,1
1024,,6690,940,,1
1025,,29270,941,,1
1026,,53978,942,,1
1027,,3150,943,,1
1028,,2498,944,,1
1029,,3683,945,,1
1030,,1267,946,,1
1031,,25135,947,,1
1032,,2647,948,,1
1033,,8155,949,,1
1034,,2825,950,,1
1035,,28187,951,,1
1036,,28187,952,,1
1037,,6000,953,,1
1038,,3134,954,,1
1039,,4693,955,,1
1040,,4693,956,,1
1041,,54221,957,,1
1042,,54221,958,,1
1043,,54221,959,,1
1044,,54221,960,,1
1045,,54397,957,,1
1046,,54397,958,,1
1047,,54397,959,,1
1048,,54397,960,,1
1049,,3101,961,,1
1050,,24901,962,,1
1051,,53961,963,,1
1052,,8864,964,,1
1053,,2768,965,,1
1054,,3193,966,,1
1055,,21481,967,,1
1056,,6002,968,,1
1057,,3476,969,,1
1058,,12173,970,,1
1059,,6031,971,,1
1060,,6083,938,,1
1061,,8025,972,,1
1062,,9150,973,,1
1063,,9150,974,,1
1064,,24957,975,,1
1065,,3815,976,,1
