id,name,gbs_id
Asher-1982,Asher 1982,iMZpM40xFfsC
Asher-1985,Asher 1985,iMZpM40xFfsC
Asher-and-Kumari-1997,Asher and Kumari 1997,cUQOAAAAQAAJ
Ashiwaju-1968,Ashiwaju 1968,
Ashley-1963,Ashley 1963,
Ashton-1944,Ashton 1944,
Ashton-1947,Ashton 1947,
Ashton-1969,Ashton 1969,
Ashton-et-al-1954,Ashton et al. 1954,
Askedal-1994,Askedal 1994,rp0hYcAjlIoC
Ataev-1996,Ataev 1996,
Augerot-1974,Augerot 1974,
Augusta-1903,Augusta 1903,
Augustitis-1964,Augustitis 1964,
Aulestia-and-White-1992,Aulestia and White 1992,uN_L9rVWKaIC
Aulie-and-Aulie-1978,Aulie and Aulie 1978,
Austen-1974,Austen 1974,
Austerlitz-1964,Austerlitz 1964,
Austerlitz-nd,Austerlitz n.d.,
Austin-1962,Austin 1962,
Austin-1976,Austin 1976,
Austin-1978,Austin 1978,
Austin-1981,Austin 1981,
Austin-1999,Austin 1999,
Austin-and-Nathan-1998,Austin and Nathan 1998,
Austing-and-Upia-1975,Austing and Upia 1975,
Avram-1978,Avram 1978,
Avrorin-1959,Avrorin 1959,
Avrorin-1968,Avrorin 1968,
Avrorin-1981,Avrorin 1981,
Avrorin-2000,Avrorin 2000,
Avrorin-and-Lebedeva-1968,Avrorin and Lebedeva 1968,
Awagana-2000,Awagana 2000,
Awagana-2001,Awagana 2001,v5pVmkR3jnkC
Awbery-1976,Awbery 1976,
Awobuluyi-1971,Awobuluyi 1971,
Awobuluyi-1978,Awobuluyi 1978,
Awoyale-1986,Awoyale 1986,
Ayala-1993,Ayala 1993,
Aymonier-1889,Aymonier 1889,
Ayres-1991,Ayres 1991,
Ayuninjam-1998,Ayuninjam 1998,gAYbOwxNRA0C
Azimov-et-al-1966,Azimov et al. 1966,
Azkue-1906,Azkue 1906,
Azemar-1887,Azémar 1887,
Baart-1997,Baart 1997,
Babiniotis-1998,Babiniotis 1998,
Babushkin-and-Donidze-1966,Babushkin and Donidze 1966,
Bach-1975,Bach 1975,
Bach-1996,Bach 1996,
Badmaev-1966,Badmaev 1966,
Badten-et-al-1987,Badten et al. 1987,
Bagaev-1965,Bagaev 1965,
Bagein-1951,Bagein 1951,
Bailey-1924,Bailey 1924,
Bailey-1966,Bailey 1966,
Bailey-1975,Bailey 1975,
Baird-2001,Baird 2001,
Baker-1972,Baker 1972,
Baker-1996,Baker 1996,4ifE-VYGa54C
Baker-Shenk-and-Cokely-1996,Baker-Shenk and Cokely 1996,
Bakir-1983,Bakir 1983,
Bakker-1997,Bakker 1997,qKOiQ3gw4akC
Balakajev-et-al-1962,Balakajev et al. 1962,
Balakev-et-al-1962,Balakev et al. 1962,
Ball-1993,Ball 1993,
Ballard-1975,Ballard 1975,
Balmer-and-Grant-1929,Balmer and Grant 1929,
Balaz-and-Darovec-1978,Baláz and Darovec 1978,
Bamgbose-1966,Bamgbose 1966,
Bammatov-1960,Bammatov 1960,
Bammesberger-1982,Bammesberger 1982,
Bammesberger-1983,Bammesberger 1983,
Bandhu-1973,Bandhu 1973,
Bandhu-et-al-1971,Bandhu et al. 1971,
Banfield-1914,Banfield 1914,
Bangma-1992,Bangma 1992,
Banhidi-et-al-1965,Banhidi et al. 1965,
Bani-and-Klokeid-1972,Bani and Klokeid 1972,
Banker-et-al-1979,Banker et al. 1979,
Banti-1997,Banti 1997,
Bao-1982,Bao 1982,
Baptista-and-Wallin-1967,Baptista and Wallin 1967,
Baptista-and-Wallin-1974,Baptista and Wallin 1974,
Baraga-1878,Baraga 1878,jx4TAAAAYAAJ
Barasana-1974,Barasana 1974,
Smith-and-Smith-1976,Smith and Smith 1976,
Baravykas-1967,Baravykas 1967,
Barbara-1879,Barbará 1879,
Barber-1977,Barber 1977,
Barbosa-1989,Barbosa 1989,
Bardakjian-and-Thomson-1977,Bardakjian and Thomson 1977,
Barker-1963a,Barker 1963a,
Barker-1963b,Barker 1963b,
Barker-1964,Barker 1964,
