pk,jsondata,key,description,valueset_pk,source_pk,version
41184,,,28,35426,802,1
41185,,,34,35427,802,1
41186,,,passim,35428,802,1
41187,,,58,35432,2627,1
41188,,,58,35433,2627,1
41189,,,58,35434,2627,1
41190,,,90-91,35435,2627,1
41191,,,87-88,35436,2627,1
41192,,,150ff,35437,2627,1
41193,,,93,35438,2627,1
41194,,,92,35439,2627,1
41195,,,93,35440,2627,1
41196,,,87-88,35441,2627,1
41197,,,87-89,35442,2627,1
41198,,,82,35443,2627,1
41199,,,124,35444,2627,1
41200,,,70,35445,2627,1
41201,,,70,35446,2627,1
41202,,,91,35447,2627,1
41203,,,passim,35448,2627,1
41204,,,"15, 56",35452,2838,1
41205,,,"15, 56",35312,2838,1
41206,,,"15, 56",35453,2838,1
41207,,,19-21,35454,2838,1
41208,,,"56, 59-60",35455,2838,1
41209,,,21-22,35456,2838,1
41210,,,17,35457,2838,1
41211,,,26,35458,2838,1
41212,,,21-22,35459,2838,1
41213,,,57,35460,2838,1
41214,,,35,35461,2838,1
41215,,,passim,35462,2838,1
41216,,,60,35463,2838,1
41217,,,60,35464,2838,1
41218,,,"16, 19-20",35465,2838,1
41219,,,32-34,35466,2838,1
41220,,,passim,35467,2838,1
41221,,,208,35470,2192,1
41222,,,205,35471,2192,1
41223,,,205,35472,2192,1
41224,,,97,35473,2192,1
41225,,,136-147,35474,2192,1
41226,,,95-96,35475,2192,1
41227,,,88,35476,2192,1
41228,,,108-109,35477,2192,1
41229,,,112-115,35478,2192,1
41230,,,"155, 159-167",35479,2192,1
41231,,,"155, 159-167",35480,2192,1
41232,,,passim,35481,2192,1
41233,,,122,35482,2192,1
41234,,,214,35483,2192,1
41235,,,92,35484,2192,1
41236,,,86,35485,2192,1
41237,,,passim,35486,2192,1
41238,,,126,35489,2715,1
41239,,,126,35490,2715,1
41240,,,126,35491,2715,1
41241,,,133,35492,2715,1
41242,,,63,35493,99,1
41243,,,80-84,35494,99,1
41244,,,134-136,35494,2715,1
41245,,,60,35495,99,1
41246,,,140,35495,2715,1
41247,,,62,35496,99,1
41248,,,133,35496,2715,1
41249,,,64,35497,99,1
41250,,,passim 181-182,35497,2715,1
41251,,,passim,35498,2715,1
41252,,,72,35499,99,1
41253,,,passim,35500,2715,1
41254,,,126,35501,2715,1
41255,,,126,35502,2715,1
41256,,,152,35503,2715,1
41257,,,60,35504,99,1
41258,,,131,35504,2715,1
41259,,,57-58,35505,99,1
41260,,,146,35505,2715,1
