Language_ID,Name,Provider
dad,Dadibi,ethnologue
dag,Daga,ethnologue
dga,"Dagaare, Southern",ethnologue
dgb,Dagbani,ethnologue
dah,Dahalo,ethnologue
ddf,"Daju, Dar Fur",ethnologue
sil,"Daju, Dar Sila",ethnologue
dak,Dakota,ethnologue
dan dbw,Dan,ethnologue
dnw,Dangaléat,ethnologue
dni,"Dani, Lower Grand Valley",ethnologue
dsh,Danish,ethnologue
dar,Darai,ethnologue
drg,Dargwa,ethnologue
pkn,Darling,ethnologue
drm,Darmiya,ethnologue
dat,Datooga,ethnologue
dgr,Daur,ethnologue
dbd,Dawida,ethnologue
day,Day,ethnologue
tbu,Dazaga,ethnologue
def,Defaka,ethnologue
deg,Degema,ethnologue
dgx,Degexit’an,ethnologue
dre,Dehu,ethnologue
chp,Dene,ethnologue
den,Dení,ethnologue
deu,Deori,ethnologue
der dlm knk,Dera,ethnologue
des,Desano,ethnologue
dhl,Dhalandji,ethnologue
glp,Dhangu,ethnologue
dhr,Dhargari,ethnologue
dhm,Dhimal,ethnologue
luo,Dholuo,ethnologue
dhu,Dhurga,ethnologue
dda djp,Dhuwal,ethnologue
bbl,Dibole,ethnologue
vat,"Dida, Lakota",ethnologue
did,Didinga,ethnologue
tsz,Dido,ethnologue
diy,Dieri,ethnologue
dig,Digaro-Mishmi,ethnologue
ygd,Dii,ethnologue
dms,Dimasa,ethnologue
dim,Dime,ethnologue
zaz,Dimli,ethnologue
dng,Ding,ethnologue
din,"Dinka, Northeastern",ethnologue
nit,Ditidaht,ethnologue
diz,Dizi,ethnologue
djm,Djambarrpuyngu,ethnologue
jam,Djamindjung,ethnologue
ndj,Djeebbana,ethnologue
djn,Djinang,ethnologue
dji,Djingili,ethnologue
dob,Dobel,ethnologue
jms,"Dogon, Jamsay",ethnologue
dts,"Dogon, Toro So",ethnologue
dgi,Dogri,ethnologue
dol,Dolgan,ethnologue
dmk,Domaaki,ethnologue
dom,Domari,ethnologue
don kzh,"Dong, Northern",ethnologue
don,"Dong, Southern",ethnologue
dgo,Dongo,ethnologue
sta,Dongxiang,ethnologue
dds,Donno So Dogon,ethnologue
dou,Doutai,ethnologue
doy,Doyayo,ethnologue
dul,Drung,ethnologue
dua,Duala,ethnologue
dma,Duma,ethnologue
pta,Dumbea,ethnologue
dmi,Dumi,ethnologue
dun,Duna,ethnologue
prd,Duruwa,ethnologue
dbr dli dut,Dutch,ethnologue
ned,Dutch Sign Language,ethnologue
dja,Dyaabugay,ethnologue
dyi,Dyirbal,ethnologue
daw,Dâw,ethnologue
ebi,Ebira,ethnologue
bni,Edo,ethnologue
edo,Edolo,ethnologue
ngu,"Efate, North",ethnologue
erk,"Efate, South",ethnologue
efi,Efik,ethnologue
ega,Ega,ethnologue
eip,Eipomek,ethnologue
eja,Ejagham,ethnologue
eka,Ekari,ethnologue
gus,Ekegusii,ethnologue
els,Elseng,ethnologue
ora,Emai-Iuleha-Ora,ethnologue
eml,Embaloh,ethnologue
emb,"Emberá, Northern",ethnologue
cat,Emberá-Catío,ethnologue
emc,Emberá-Chamí,ethnologue
eme,Emerillon,ethnologue
itb,Emilian,ethnologue
ene,"Enets, Forest",ethnologue
ene,"Enets, Tundra",ethnologue
ena,Enga,ethnologue
egn,Engenni,ethnologue
eno,Enggano,ethnologue
eng,English,ethnologue
lng,Enxet,ethnologue
eny,Enya,ethnologue
epe,Epena,ethnologue
moe,Erzya,ethnologue
ese,Ese Ejja,ethnologue
ess,Esselen,ethnologue
est,Estonian,ethnologue
evn,Even,ethnologue
eve sol,Evenki,ethnologue
ewo,Ewondo,ethnologue
eya,Eyak,ethnologue
pnr,E’ñapa Woromaipu,ethnologue
grn,Farefare,ethnologue
far,Faroese,ethnologue
dri,"Farsi, Eastern",ethnologue
prs,"Farsi, Western",ethnologue
fqs,Fas,ethnologue
fas,Fasu,ethnologue
fef,Fe'fe',ethnologue
fij ndr,Fijian,ethnologue
fiw,"Fijian, Western",ethnologue
fin,Finnish,ethnologue
fsl,Finnish Sign Language,ethnologue
vla,Flemish Sign Language,ethnologue
foe,Foi,ethnologue
pdp,Folopa,ethnologue
fon,Fon,ethnologue
frd,Fordata,ethnologue
for,Fore,ethnologue
fre,French,ethnologue
lsf,French Sign Language,ethnologue
fea fri,"Frisian, Eastern",ethnologue
fno,"Frisian, Northern",ethnologue
frw,"Frisian, Western",ethnologue
fgo fua,"Fulfulde, Adamawa",ethnologue
fum,"Fulfulde, Maasina",ethnologue
fni,"Fulfulde, Nigerian",ethnologue
fbf fli,"Fulfulde, Western Niger",ethnologue
fur,Fur,ethnologue
bgr,Furu,ethnologue
fue,"Futuna, East",ethnologue
fut,Futuna-Aniwa,ethnologue
poa,Fwâi,ethnologue
fye,Fyam,ethnologue
ga,Ga,ethnologue
gnd,Ga'anda,ethnologue
igs,Gaam,ethnologue
gdb,"Gadaba, Bodo",ethnologue
gdk,"Gadaba, Pottangi Ollar",ethnologue
gad,Gade,ethnologue
gds,Gadsup,ethnologue
ird iri irm,"Gaelic, Irish",ethnologue
gae,"Gaelic, Scottish",ethnologue
gaa,Gagadu,ethnologue
gag,Gagauz,ethnologue
ghr,Gahri,ethnologue
gll,Galela,ethnologue
glc,Galician,ethnologue
gml yuw,Gamilaraay,ethnologue
gam,Gamo,ethnologue
kul,Gamo-Gofa-Dawro,ethnologue
lda,Ganda,ethnologue
yuk,Ganggalida,ethnologue
gap,Gapapaiwa,ethnologue
grf,Garifuna,ethnologue
gar,Garo,ethnologue
grr,Garrwa,ethnologue
grs,Garus,ethnologue
gav,Gavião do Jiparaná,ethnologue
dug,Gawwada,ethnologue
gay,Gayo,ethnologue
gwa,Gbagyi,ethnologue
kre,Gbaya,ethnologue
gbk,"Gbaya, Northwest",ethnologue
gbb,Gbaya-Bossangoa,ethnologue
mdo,Gbaya-Mbodomo,ethnologue
wmn,"Gbe, Weme",ethnologue
gel,Gela,ethnologue
geo,Georgian,ethnologue
dge,German Sign Language,ethnologue
gbl ger gha gma gth gti,"German, Standard",ethnologue
alt gbe gos gpz gtg gzu,"German, Swiss",ethnologue
god,Ghodoberi,ethnologue
gho,Ghotuo,ethnologue
nbh,Ghulfan,ethnologue
gdr,Gidar,ethnologue
kik,Gikuyu,ethnologue
gil,Gilaki,ethnologue
niv nvs,Gilyak,ethnologue
