ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
40,Inclusive/Exclusive Distinction in Verbal Inflection,,Michael Cysouw,"Michael Cysouw. 2013. Inclusive/Exclusive Distinction in Verbal Inflection. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/40)",inclusive-exclusive-distinction-in-verba,40,3,Kutsch-Lojenga-1994 Leavitt-1996 Payne-and-Payne-1990 Donaldson-1980 McGregor-1995,cysouwm,
41,Distance Contrasts in Demonstratives,,Holger Diessel,"Holger Diessel. 2013. Distance Contrasts in Demonstratives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/41)",distance-contrasts-in-demonstratives,41,3,Diessel-1999b Churchward-1953 Anderson-and-Keenan-1985 van-den-Berg-1995 Kuno-1973 Wolff-1993,diesselh,
42,Pronominal and Adnominal Demonstratives,,Holger Diessel,"Holger Diessel. 2013. Pronominal and Adnominal Demonstratives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/42)",pronominal-and-adnominal-demonstratives,42,3,Kornfilt-1997 Noonan-1992 Diessel-1999b Sohn-1994 Rehg-1981 Dayley-1989a Dayley-1989b Hale-1983,diesselh,
43,Third Person Pronouns and Demonstratives,,D.N.S. Bhat,"D.N.S. Bhat. 2013. Third Person Pronouns and Demonstratives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/43)",third-person-pronouns-and-demonstratives,43,3,Tamura-2000 Harms-1994 Saltarelli-et-al-1988 Keen-1983 Reed-and-Payne-1986 Wilson-1980 Nagaraja-1985 Biligiri-1965 Kozintseva-1995 Bromley-1981 Elbert-and-Pukui-1979 Voorhoeve-1965b Bray-1986 Haspelmath-1993 Facundes-2000 Poulos-1990 Innes-1966 Asher-and-Kumari-1997 Hardman-2000 Kordic-1997 Osada-1992 McLendon-1975 Key-1967 Rood-1976 Bhat-2004,bhatdns,
44,Gender Distinctions in Independent Personal Pronouns,,Anna Siewierska,"Anna Siewierska. 2013. Gender Distinctions in Independent Personal Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/44)",gender-distinctions-in-independent-perso,44,3,Corbett-1991 Greenberg-1963 Plank-and-Schellinger-1997 Newman-2000 Laycock-1965a McClelland-2000 Wise-1999 Meinhof-1930 Love-2000 Terrill-2003 Aikhenvald-2000 Mous-1993 Bodomo-1997,siewierskaa,
45,Politeness Distinctions in Pronouns,,Johannes Helmbrecht,"Johannes Helmbrecht. 2013. Politeness Distinctions in Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/45)",politeness-distinctions-in-pronouns,45,3,Friedrich-1966 Friedrich-1972 Shibatani-1998 Helmbrecht-2002 Cooke-1968 Muhlhausler-and-Harre-1990 Bowden-2001 Pandharipande-1997 Brown-and-Levinson-1987 Brown-and-Gilman-1960 Agha-1994 Malsch-1987 Helmbrecht-2003,helmbrechtj,
46,Indefinite Pronouns,,Martin Haspelmath,"Martin Haspelmath. 2013. Indefinite Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/46)",indefinite-pronouns,46,3,Hewitt-1979 Jacob-1968 Haspelmath-1997 Panfilov-1962 Zirkov-1955 Nagaraja-1999 Willett-1991 Schultze-Berndt-2000 Bhat-2000 Bhat-2004 Mushin-1995 Davies-1981b Newman-2000 Kruspe-1999 Bauer-1993 Kakumasu-1986 Schachter-and-Otanes-1972,haspelmathm,
47,Intensifiers and Reflexive Pronouns,,"Ekkehard König, Peter Siemund (Stephan Töpper)","Ekkehard König, Peter Siemund (Stephan Töpper). 2013. Intensifiers and Reflexive Pronouns. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/47)",intensifiers-and-reflexive-pronouns,47,3,Asher-and-Kumari-1997 Ogawa-1998 Konig-and-Siemund-2000a Faltz-1985 Norman-1848 Priego-Montfort-1989,konige siemundp,toppers
48,Person Marking on Adpositions,,Dik Bakker,"Dik Bakker. 2013. Person Marking on Adpositions. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/48)",person-marking-on-adpositions,48,3,Dol-1999 Wash-2001 MacDonald-1990 Hercus-1994 Hardman-2000 Hoddinott-and-Kofod-1988 Crowley-1982 Lorimer-1935 Groves-et-al-1985 Hewitt-1979 Hawkins-1983 Tsunoda-et-al-1995,bakkerd,
49,Number of Cases,,Oliver A. Iggesen,"Oliver A. Iggesen. 2013. Number of Cases. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/49)",number-of-cases,49,3,Smeets-1989 Nikolaeva-1999 Thrainsson-1994 Wade-1992 Fortescue-1984 Tompa-1968 Wolfart-1973 Hewitt-1989a Blake-1994 Plank-1995 Seiler-1985 Comrie-1999,iggesenoa,
