ID,Name,Description,Contributor,Citation,wp_slug,Number,Area_ID,Source,Contributor_ID,With_Contributor_ID
140,Question Particles in Sign Languages,,Ulrike Zeshan,"Ulrike Zeshan. 2013. Question Particles in Sign Languages. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/140)",question-particles-in-sign-languages,140,10,Celo-1996 Zeshan-2004a,zeshanu,
141,Writing Systems,,Bernard Comrie,"Bernard Comrie. 2013. Writing Systems. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/141)",writing-systems,141,11,Daniels-and-Bright-1996,comrieb,
142,Para-Linguistic Usages of Clicks,,David Gil,"David Gil. 2013. Para-Linguistic Usages of Clicks. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/142)",para-linguistic-usages-of-clicks,142,11,Darwin-1872,gild,
143,Order of Negative Morpheme and Verb,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Order of Negative Morpheme and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/143)",order-of-negative-morpheme-and-verb,143,6,Blackings-and-Fabb-2003 Kraft-and-Kraft-1973 Allan-et-al-1995 Williams-1980a Kawachi-2007 Brown-1994 Vidal-2001 Stanhope-1980 Thomas-1978 Becker-Donner-1965 Heeschen-1998 Anderson-1979 Terrill-2003 Tucker-and-Mpaayei-1955 Grinevald-1988 Ngonyani-2003 Koshal-1979 Genetti-2007 Kopris-2001 Meier-et-al-1975 Frajzyngier-and-Shay-2002 Frajzyngier-1993 Einaudi-1976 Kooyers-1974 Aikhenvald-2003 Baroja-1989 San-Roque-2008 Reintges-2004 Sibomana-1986 Romero-Mendez-2009 Harris-1969b Spencer-2008 Miestamo-2005 Derbyshire-1979 Singh-2002 Bruce-1984 Emenanjo-1978 Poulos-1990 Chumbow-and-Tamanji-1994 Schafer-1995 Wiering-and-Wiering-1994 Berry-and-Berry-1999 Aikhenvald-1996 Henderson-1997 van-Driem-1987 Carteron-1972 Kari-1997 Turner-1987 Tucker-and-Bryan-1966 Curnow-1997 Horton-1949 Childs-1995 Schuh-1998 Bryant-1999 Kraft-1963 Carlson-1994 de-Vries-2004 Holzknecht-1986 Coupe-2007 Wolff-1983 Wolff-2009 Panfilov-1962 Du-Feu-1996 Michelson-and-Doxtator-2002 Heath-2005 Redden-1979 Richert-1975 Ottaviano-and-Ottaviano-1967 Sampson-1926 Macalister-1914 Andvik-1999 Collier-and-Gregerson-1985 Hyman-1981b Lumwamu-1973,dryerms,
144,"Position of Negative Morpheme With Respect to Subject, Object, and Verb",,Matthew S. Dryer,"Matthew S. Dryer. 2013. Position of Negative Morpheme With Respect to Subject, Object, and Verb. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/144)",position-of-negative-morpheme-with-respe,144,6,Faust-1971 Randal-1998 Santandrea-1970 Smye-2004 Stevenson-1969 Williams-1980a Heath-1999a Ross-and-Paol-1978 Kratochvil-2007 Andrade-1933 Watkins-1993 Jarvis-1989 Lynch-2000 Besnier-2000 Najlis-1973 Kohler-1981 Omondi-1982 Ngonyani-2003 Dryer-2009 Allin-1976 Nordlinger-1998 Tucker-and-Bryan-1966 Smith-and-Johnson-2000 Rice-1989 Heine-1999a Burquest-1973 Hoskison-1983 Harlow-1996 Bauer-1993 Ayuninjam-1998 Turton-and-Bender-1976 Amboulou-1998 Jenner-1904 Will-1989 Good-2003 Weir-1994 Chumbow-and-Tamanji-1994 Bryant-1999 Gomes-2007 Santandrea-1965b Blackings-and-Fabb-2003 Sass-2006 Nebel-1948 Crazzolara-1933 Crowley-1982 Morgan-1996 Anderson-1979 Allan-et-al-1995 Scorza-1985 Visser-and-Voorhoeve-1987 Odden-1996 Terrill-1998 Njie-1982 Chapman-and-Derbyshire-1991 Kung-2007 Simeone-Senelle-1997 Moyse-Faurie-1983 Osumi-1995 Dayley-1985 Casamiquela-1983 Klein-2001 Guirardello-1999a Kutsch-Lojenga-1994 Last-and-Lucassen-1998 Trager-1946 van-der-Voort-2004 Dum-Tragut-2009 Berry-and-Berry-1999 Henderson-1997 Aikhenvald-1998 Lynch-1978 Keen-1983 Peeke-1962 Bowern-and-Lotridge-2002 Carteron-1972 Kari-1997 Schafer-1995 Hyslop-2001 Horton-1949 Hyman-1981b Wiering-and-Wiering-1994 Harris-1969b Lumwamu-1973 Hyman-and-Magaji-1970 Childs-1995 Schuh-1998 Kraft-and-Kraft-1973 Tischhauser-1992 Bernini-and-Ramat-1996 Nettle-1998 Frajzyngier-1993 Early-1994a Clark-2002 Mamet-1960 Holzknecht-1986 Redden-1979 Sibomana-1986 Poulos-and-Bosch-1997 Brown-1994 Reintges-2004 Gary-and-Gamal-Eldin-1982 Sampson-1926 Donohue-and-San-Roque-2004 Gabas-1999 Marlett-1981 Renck-1975 Thompson-et-al-2006 Davies-1981b Heeschen-1998 Clifton-1997 Estrada-Fernandez-1996 Charney-1993 Hill-2005 Terrill-2003 Chirikba-2003 Koshal-1979 Genetti-2007 Grinevald-1988 Tryon-1974 Watkins-1984 Allen-1975b Nedjalkov-1997 Soe-1999 Rose-2003b Owens-1985 Curnow-1997 Ray-1933 Wexler-1967 Collier-and-Gregerson-1985 Tryon-1970b Carlson-1994 Ebermann-1986a Dayley-1989a Einaudi-1976 Toba-1984 Coupe-2007 Aikhenvald-2003 Panfilov-1962 Trenga-1947 San-Roque-2008 Spencer-2008 Andvik-1999 Miller-2001 Roberts-1987 Kooyers-1974 Richert-1975 de-Vries-2004 Jany-2009 Kroeber-1904 Merrifield-1968 Key-1967 Beeler-1976 Rodrigues-1999b Adam-1897 Jamieson-1988 Novelli-1985 Harrison-et-al-1981 Kopris-2001 Dryer-1991 Dryer-1992 Chaker-1983 Garcia-Matzar-and-Rodriguez-Guajan-1997 Reh-1985 Dunn-1979 Frajzyngier-and-Shay-2002 Harrell-1962 Wolff-1983 Wolff-2009 Weber-1988 Baroja-1989 Heath-2005 Leeding-1989 Macalister-1914 Buenrostros-1991 Olawsky-2006 Donohue-2002 Harrison-1970 Abbott-1991 Rood-1976 Koehn-and-Koehn-1986 Andersen-1988,dryerms,
s2,List of abbreviations,,,". 2013. List of abbreviations. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/992)",,992,,,,
s4,Genealogical Language List,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Genealogical Language List. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/994)",,994,,Grimes-2000 Ruhlen-1987 Dryer-1989 Wurm-1975 Wurm-1982,dryerms,
s5,Sampling Case and Tense Formatives,,"Balthasar Bickel, Johanna Nichols","Balthasar Bickel, Johanna Nichols. 2013. Sampling Case and Tense Formatives. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/995)",,995,,Plank-1999 Andronov-1980 Bickel-and-Nichols-2002 Kroeger-1993 Wolfart-1973 Lewis-1967 Li-and-Thompson-1981,bickelb nicholsj,
s6,Determining Dominant Word Order,,Matthew S. Dryer,"Matthew S. Dryer. 2013. Determining Dominant Word Order. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/996)",,996,,Abbott-1991 Heath-1999a van-Enk-and-de-Vries-1997 Voorhoeve-1965b Rubino-1998b,dryerms,
s7,Tense and Aspect,,"Östen Dahl, Viveka Velupillai","Östen Dahl, Viveka Velupillai. 2013. Tense and Aspect. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/997)",,997,,Comrie-1985 Verkuyl-1971 Tenny-1994 Agrell-1908 Bybee-et-al-1994 Dahl-1985 Dahl-1995 Dahl-2000,dahlo velupillaiv,
s8,Relativization Strategies,,"Bernard Comrie, Tania Kuteva","Bernard Comrie, Tania Kuteva. 2013. Relativization Strategies. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/998)",,998,,Lehmann-1984 Kibrik-1992 Austin-1981,comrieb kutevat,
s9,Sign Languages,,Ulrike Zeshan,"Ulrike Zeshan. 2013. Sign Languages. In: Dryer, Matthew S. & Haspelmath, Martin (eds.) 2013. The World Atlas of Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at https://wals.info/chapter/999)",,999,,Klima-and-Bellugi-1979 Boyes-Braem-1990 Sutton-Spence-and-Woll-1999 Zeshan-2004a Zeshan-2004b Taylor-1996 Webb-and-Supalla-1994 Kakumasu-1966 Branson-et-al-1996 Frishberg-1987,zeshanu,
